apa monkey
bi bee
björn bear
bläckfisk octopus
bäver beaver
delfin dolphin
ekorre squirrel
elefant elephant
fisk fish
fjäril butterfly
fladdermus bat
fluga fly
fågel bird
får sheep
get	goat
geting wasp
gorilla	gorilla
gris pig
groda frog
gräshoppa grasshopper
grävling badger
haj	shark
hare hare
hjort deer
hund dog
hyena hyena
häst horse
höna chicken
igelkott hedgehog
järv wolverine
kamel camel
kanin rabbit
katt cat
ko cow
kolibri	hummingbird
krokodil crocodile
känguru	kangaroo
larv caterpillar
lejon lion
leopard	leopard
lodjur lynx
manet jellyfish
mula mule
mus	mouse
myra ant
panter panther
papegoja parrot
orm	snake
pingvin	penguin
råtta rat
räv	fox
schakal	jackal
skorpion scorpion
sköldpadda tortoise
spindel spider
säl	seal
tiger tiger
tjur bull
tupp rooster
utter otter
val	whale
valross	walrus
varg wolf
vildsvin boar
zebra zebra
åsna donkey
älg	moose
ödla lizard
